model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_gap
Linear Regression,3.33417379592692,4.714617235804801,0.7441378523294937,3.186806215812215,4.9344233287968775,0.6679765786180172,0.2198060929920764
Random Forest Regressor,1.0103802763976035,1.5318736694156667,0.9709507711266744,2.5543578104901634,3.3789621682551063,0.8844714466683897,1.84708849883944
XGBRegressor,0.7143990377388377,0.9483563310884932,0.9888664977496793,2.2788637254752366,2.9629531067917334,0.9111674287814362,2.0145967757032404
